File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors_Swatches.g.i.cs,124,83,42,2,26,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Colors_ValuesDisplay.g.i.cs,200,139,61,2,46,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion_Ascii.g.i.cs,123,84,45,2,24,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion_Bases.g.i.cs,130,90,46,2,25,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion_Calculator.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion_Unicode.g.i.cs,101,68,39,2,18,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion_Units.g.i.cs,91,61,37,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Conversion_UnitsInner.g.i.cs,146,100,50,2,31,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Clear.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Eraser.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_FillSelect.g.i.cs,121,83,45,2,23,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Highlighter.g.i.cs,90,60,36,2,15,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Lines.g.i.cs,130,90,46,2,25,0,15,42,0,0
T:\School\Capstone-TaylorGarcia\TIM\TIM\obj\Debug\Tools\Drawing_Overlay.g.i.cs,105,72,40,3,18,0,15,42,0,0
